"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Arab Street","RESTAURANT","% ARABICA","56 ARAB STREET #01-01 SINGAPORE 199753"
"Street","Jalan Merah Saga","RESTAURANT","% ARABICA","44 JALAN MERAH SAGA #01-58 SINGAPORE 278116"
"Street","Tanjong Katong Road","RETAIL","1 2 CYCLE","326 TANJONG KATONG ROAD SINGAPORE 437104"
"In-Mall & Building","Guoco Tower","RETAIL","1 GRAVITY","7 WALLICH STREET #B1-16 SINGAPORE 078884"
"In-Mall & Building","Northpoint City","RETAIL","1 GRAVITY","930 YISHUN AVENUE 2 #03-34 SINGAPORE 769098"
"In-Mall & Building","Bugis Junction","RESTAURANT","108 MATCHA SARO","200 VICTORIA STREET #B1-03B SINGAPORE 188021"
"In-Mall & Building","Icon Village","RESTAURANT","123 ZO","12 GOPENG STREET #01-45/49/50/51 SINGAPORE 078877"
"Street","Telok Ayer Street","RESTAURANT","13% GASTRO WINE","123A TELOK AYER STREET SINGAPORE 068592"
"In-Mall & Building","I12 Katong","RETAIL","1855 THE BOTTLE SHOP","112 EAST COAST ROAD #B1-21 SINGAPORE 428802"
"In-Mall & Building","Westgate","RETAIL","1GRAVITY ","3 GATEWAY DRIVE #03-27 SINGAPORE 608532"
"In-Mall & Building","Parkway Parade","RETAIL","1ST PRIZE HOME DIY","80 MARINE PARADE ROAD #B1-23/24 SINGAPORE 449269"
"Street","Bussorah Street","RESTAURANT","2 BEO","73 BUSSORAH STREET SINGAPORE 199486"
"In-Mall & Building","Plaza Singapura","RETAIL","2 FT ORTHOTICS","68 ORCHARD ROAD #03-K1 SINGAPORE 238839"
"Street","Choa Chu Kang Mrt Station","RETAIL","20/20 VISION OPTOMETRISTS","10 CHOA CHU KANG AVENUE 4 #01-02/03 SINGAPORE 129581"
"Street","Beach Road","RESTAURANT","2050 COFFEE","267 BEACH ROAD #01-01 SINGAPORE 199545"
"In-Mall & Building","Tiong Bahru Plaza","RETAIL","2ND STREET","302 TIONG BAHRU ROAD #02-119A/120 TIONG BAHRU PLAZA SINGAPORE 168732"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","2ND STREET","10 PAYA LEBAR ROAD #B1-09/10 SINGAPORE 409057"
"In-Mall & Building","Junction 8","RETAIL","3 MOBILE TELECOM ","9 BISHAN PLACE #02-32 SINGAPORE 579837"
"Street","Maju Avenue","RESTAURANT","4FINGERS","2 MAJU AVENUE SINGAPORE 556680"
"In-Mall & Building","NEX","RESTAURANT","4FINGERS ","23 SERANGOON CENTRAL #B2-50/51 NEX SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","4FINGERS ","9 BISHAN PLACE #01-32 SINGAPORE 579837"
"In-Mall & Building","The Star Vista","RESTAURANT","5 SENSES BISTRO","1 VISTA EXCHANGE GREEN #02-21 SINGAPORE 138617"
"Street","Tanjong Pagar Road","RESTAURANT","5 THE MOMENTS CAFE","73 TANJONG PAGAR ROAD SINGAPORE 088494"
"Street","Amoy Street","RESTAURANT","54 STEAKHOUSE","54 AMOY STREET SINGAPORE 069880"
"Street","Joo Chiat Road","RETAIL","5B ","44/45/46 JOO CHIAT ROAD SINGAPORE 427370"
"In-Mall & Building","Plaza Singapura","RETAIL","6 ELEMENTS HAIR SPA","68 ORCHARD ROAD #04-02 PLAZA SINGAPURA SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","6 ELEMENTS HAIR SPA","80 MARINE PARADE ROAD #02-08 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RETAIL","6 ELEMENTS HAIR SPA","311 NEW UPPER CHANGI ROAD #B2-38 SINGAPORE 467360"
"In-Mall & Building","NEX","RETAIL","6 ELEMENTS HAIR SPA","23 SERANGOON CENTRAL #B2-31/32 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","6 ELEMENTS HAIR SPA","3 GATEWAY DRIVE #04-01 SINGAPORE 608532"
"In-Mall & Building","Lot One","RETAIL","6 ELEMENTS HAIR SPA","21 CHOA CHU KANG AVENUE 4 #02-16 SINGAPORE 689812"
"In-Mall & Building","Punggol Waterway Point","RETAIL","6 ELEMENTS HAIR SPA","83 PUNGGOL CENTRAL #B1-06/07 SINGAPORE 828761"
"Street","Tanjong Katong Road","RESTAURANT","6 LETTER COFFEE","259 TANJONG KATONG ROAD SINGAPORE 437047"
"In-Mall & Building","Plaza Singapura","RETAIL","6IXTY 8IGHT","68 ORCHARD ROAD #B1-05/06 SINGAPORE 238839"
"In-Mall & Building","Change Alley","RESTAURANT","6OZ ESPRESSO BAR","30 RAFFLES PLACE #01-10 SINGAPORE 048622"
"Street","Mccallum Street","RESTAURANT","6OZ ESPRESSO BAR","20 MCCALLUM STREET #01-K1 SINGAPORE 069046"
